Уровень,Дата и время,Источник,Код события,Категория задачи
Предупреждение,08.07.2025 14:31:50,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений по умолчанию для компьютера не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 и APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 пользователю WIN-1RV1410CJR9\user с ИД безопасности (S-1-5-21-2673919329-1864613939-3857136136-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Microsoft.Windows.ShellExperienceHost_10.0.19041.5072_neutral_neutral_cw5n1h2txyewy с ИД безопасности (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Предупреждение,08.07.2025 14:31:09,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени audienceexposure.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,08.07.2025 14:30:50,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений по умолчанию для компьютера не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 и APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 пользователю WIN-1RV1410CJR9\user с ИД безопасности (S-1-5-21-2673919329-1864613939-3857136136-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Microsoft.Windows.ShellExperienceHost_10.0.19041.5072_neutral_neutral_cw5n1h2txyewy с ИД безопасности (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,08.07.2025 14:25:03,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Предупреждение,08.07.2025 14:23:11,Netwtw08,6062,Отсутствует,6062 - Lso was triggered
Сведения,08.07.2025 14:23:10,Microsoft-Windows-Hyper-V-VmSwitch,232,Отсутствует,NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: WSL) successfully connected to port 0D6DF037-1D28-4F93-895E-77ADE4DC8F63 (Friendly Name: Container NIC 6df3bc43) on switch 8907FFC7-8DEA-4C0F-B0F7-24770FBC64E0(Friendly Name: WSL).
Сведения,08.07.2025 14:23:10,Microsoft-Windows-Hyper-V-VmSwitch,5,(1003),Miniport NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: ) successfully enabled
Сведения,08.07.2025 14:23:10,Microsoft-Windows-Hyper-V-VmSwitch,7,(1004),Miniport NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: WSL) successfully initialized.
Сведения,08.07.2025 14:23:10,Microsoft-Windows-Hyper-V-VmSwitch,234,Отсутствует,NIC 1895465B-102B-444D-83D8-135DE83EDFFF successfully disconnected from port .
Сведения,08.07.2025 14:23:08,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2025‎-‎07‎-‎08T11:22:49.253078800Z
Время выхода из спящего режима: ‎2025‎-‎07‎-‎08T11:23:07.140623000Z

Источник выхода: Устройство -Расширяемый хост-контроллер Intel(R) USB 3.1 — 1.10 (Майкрософт)"
Сведения,08.07.2025 14:23:07,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.UserSessionHelper.exe (ИД процесса: 2428) изменил схему политики с {64a64f24-65b9-4b56-befd-5ec1eaced9b3} на {64a64f24-65b9-4b56-befd-5ec1eaced9b3}
Сведения,08.07.2025 14:23:07,Microsoft-Windows-Hyper-V-VmSwitch,232,Отсутствует,NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: WSL) successfully connected to port 0D6DF037-1D28-4F93-895E-77ADE4DC8F63 (Friendly Name: Container NIC 6df3bc43) on switch 8907FFC7-8DEA-4C0F-B0F7-24770FBC64E0(Friendly Name: WSL).
Сведения,08.07.2025 14:23:07,Netwtw08,7021,Отсутствует,7021 - Connection telemetry fields and analysis usage
Сведения,08.07.2025 14:23:07,Microsoft-Windows-Hyper-V-VmSwitch,5,(1003),Miniport NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: ) successfully enabled
Сведения,08.07.2025 14:23:07,Microsoft-Windows-Hyper-V-VmSwitch,7,(1004),Miniport NIC 1895465B-102B-444D-83D8-135DE83EDFFF (Friendly Name: WSL) successfully initialized.
Сведения,08.07.2025 14:23:07,Microsoft-Windows-Hyper-V-VmSwitch,234,Отсутствует,NIC 1895465B-102B-444D-83D8-135DE83EDFFF successfully disconnected from port .
Сведения,08.07.2025 14:23:06,googledrivefs31931,1,Отсутствует,Wake from sleep detected.
Сведения,08.07.2025 14:23:06,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,08.07.2025 14:23:06,Netwtw08,7026,Отсутствует,7026 - Dump after return from D3 after cmd
Сведения,08.07.2025 14:23:06,Netwtw08,7025,Отсутствует,7025 - Dump after return from D3 before cmd 
Сведения,08.07.2025 14:23:05,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 6, FullResume: 538, AverageResume: 541"
Сведения,08.07.2025 14:23:05,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2025‎-‎07‎-‎08T11:23:02.638062500Z на ‎2025‎-‎07‎-‎08T11:23:05.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,08.07.2025 14:23:02,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,08.07.2025 14:23:01,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,08.07.2025 14:23:01,Microsoft-Windows-Kernel-Power,40,(36),Драйвер \Driver\UcmCxUcsiNvppc для устройства PCI\VEN_10DE&DEV_1AD9&SUBSYS_17511043&REV_A1\4&34e5106f&0&0308 остановил изменение режима питания.
Сведения,08.07.2025 14:22:56,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,08.07.2025 14:14:02,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,08.07.2025 14:11:58,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,08.07.2025 13:50:44,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,08.07.2025 13:48:39,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
